,title,url,date,keyword,creator,view,likes,depart,depart1,language,text,new_text,key_words
600,줌(ZOOM) 전문강사가 알려주는 유용한 기능 21가지! (최신기능포함),https://www.youtube.com/watch?v=GBhJg_p5yk8&pp=ygULem9vbSDquLDriqU%3D,2020.9.26,,디지털생활제안,131431,21,커뮤니케이션,커뮤니케이션,한국어,"#줌강사유장휴 #강사가알려주는기능 #줌최신기능
바쁘신 분들은 아래 타임스템프를 이용해주세요
1. 호스트 비디오 순서 따르기 0:41
2. 손들기 순서 확인하기 1:35
3. 빈 비디오 화면 숨기기 2:08
4. 추천 비디오 + 다중 추천비디오 2:43
5. 핀(화면고정), 핀추가(다중 고정) 3:50
6. 가상배경(PC+스마트폰) 5:21
7. 비디오 필터 6:13
8. 스튜디오 효과(BETA) 6:47
09. 갤러리 보기 최대 참가자 49명 표시 7:36
10. 공동호스트(유료) 8:29
11. 선택자막(요약정리 담당자) 9:29
12. 이름변경(음소거로 순서확인) 10:38
13. 모두 음소거 단축키 (ALT+M) 11:38
14. 화면공유_여러 참가자 동시공유 12:23
15. 화면공유_컴퓨터 소리만/화면일부/두 번째 카메라(고급기능) 13:26
16. 채팅방으로 정답 받기(호스트 비공개) 15:07
17. 화면캡처와 파일전송 15:30
18. 소회의실: 참가자 스스로 회의실 이동 16:18
19. 대기실 배치 16:51
20. 기록하기_화면공유만 기록하기 17:17
21. 유튜브로 라이브스트리밍(유료) 18:13


▶ 디지털생활제안 유튜브 구독하기 http://bit.ly/2QdDllv
▶ 디지털생활제안 홈페이지  https://www.yujanghyu.com/
▶ 교육문의 yyjjhh2000@hanmail.net
▶ 디지털생활제안 후원하기: https://toon.at/donate/digitallife","줌ZOOM 전문강사가 알려주는 유용한 기능 21가지 최신기능포함 줌강사유장휴 강사가알려주는기능 줌최신기능
바쁘신 분들은 아래 타임스템프를 이용해주세요
1 호스트 비디오 순서 따르기 041
2 손들기 순서 확인하기 135
3 빈 비디오 화면 숨기기 208
4 추천 비디오  다중 추천비디오 243
5 핀화면고정 핀추가다중 고정 350
6 가상배경PC스마트폰 521
7 비디오 필터 613
8 스튜디오 효과BETA 647
09 갤러리 보기 최대 참가자 49명 표시 736
10 공동호스트유료 829
11 선택자막요약정리 담당자 929
12 이름변경음소거로 순서확인 1038
13 모두 음소거 단축키 ALTM 1138
14 화면공유_여러 참가자 동시공유 1223
15 화면공유_컴퓨터 소리만화면일부두 번째 카메라고급기능 1326
16 채팅방으로 정답 받기호스트 비공개 1507
17 화면캡처와 파일전송 1530
18 소회의실 참가자 스스로 회의실 이동 1618
19 대기실 배치 1651
20 기록하기_화면공유만 기록하기 1717
21 유튜브로 라이브스트리밍유료 1813


 디지털생활제안 유튜브 구독하기 
 디지털생활제안 홈페이지  
 교육문의 yyjjhh2000hanmailnet
 디지털생활제안 후원하기 ","줌, 비디오, 가상 배경, 필터, 화면 공유, 채팅방, 화면 캡처, 라이브 스트리밍, 디지털 혁신"
601,줌(Zoom) 초간단 사용법 |  화상 회의에 참석하기.  회의 개설하기.  줌 초보자를 위한 설명서  |  온라인 화상 회의,https://www.youtube.com/watch?v=8U925VTjOGs&pp=ygULem9vbSDquLDriqU%3D,2021.10.23,#zoom,"엄마, 내가 알려줄게",131509,27,커뮤니케이션,커뮤니케이션,한국어,"줌 회의 참여하는 법! 줌 회의 개설하는 법! 
온라인 화상회의 줌을 모르면 안되는 시대입니다. 
폰으로 회의에 참여하는 법
컴퓨터로 회의를 개설하는 법을 전해드립니다.
차근히 따라해보세요^^

00:51  줌(zoom)이 뭔가요?
01:37  줌으로 화상 미팅 과정과 원리 이해하기
02:35  줌 회의 참여하기
04:21  줌 회의 주최하기 (설치하고 초대하기)

---------------------------------------------------------------------------------------
▶ 채널 구독하기 
   / @mamapop  

▶ 채널 후원하기
   / @mamapop  

▶ 촬영 장비 (구매 링크 포함)
카메라 : https://cpie96.wixsite.com/umma/camera
마이크 : https://cpie96.wixsite.com/umma/mic
조명 : https://cpie96.wixsite.com/umma/lighting
컴퓨터 : https://cpie96.wixsite.com/umma/computer

▶ 배경 음악
""UKULELE"" from Bensound.com

#zoom #줌미팅 #화상미팅 #인터넷강의 #초보유튜버","줌Zoom 초간단 사용법   화상 회의에 참석하기  회의 개설하기  줌 초보자를 위한 설명서    온라인 화상 회의 줌 회의 참여하는 법 줌 회의 개설하는 법 
온라인 화상회의 줌을 모르면 안되는 시대입니다 
폰으로 회의에 참여하는 법
컴퓨터로 회의를 개설하는 법을 전해드립니다
차근히 따라해보세요

0051  줌zoom이 뭔가요
0137  줌으로 화상 미팅 과정과 원리 이해하기
0235  줌 회의 참여하기
0421  줌 회의 주최하기 설치하고 초대하기


 채널 구독하기 
    mamapop  

 채널 후원하기
    mamapop  

 촬영 장비 구매 링크 포함
카메라  
마이크  
조명  
컴퓨터  

 배경 음악
UKULELE from Bensoundcom

zoom 줌미팅 화상미팅 인터넷강의 초보유튜버","Zoom, 화상 회의, 온라인 회의, 참석, 개설, 디지털 혁신, 인터넷강의."
602,줌(zoom) 화이트보드 최신 업데이트! 이젠 뮤랄/미로처럼 디지털 화이트보드 가능,https://www.youtube.com/watch?v=pZ7XyPwuqa0&pp=ygULem9vbSDquLDriqU%3D,2022.4.20,ZOOM(줌) 사용설명서,디지털생활제안,2559,45,커뮤니케이션,커뮤니케이션,한국어,"#줌화이트보드 #디지털화이트보드

줌 화이트보드 기능이 업데이트 되었습니다.
기존은 1회성 회이트보드였다면
기록과 보관이 가능한 화이트보드입니다.

물론, 텍스트, 도형, 선, 포스트잇 모두 가능합니다.


▶ 디지털생활제안 유튜브 구독하기 http://bit.ly/2QdDllv
▶ 디지털생활제안 홈페이지  https://www.yujanghyu.com/
▶ 교육문의 yyjjhh2000@hanmail.net
▶ 디지털생활제안 후원하기: https://toon.at/donate/digitallife","줌zoom 화이트보드 최신 업데이트 이젠 뮤랄미로처럼 디지털 화이트보드 가능 줌화이트보드 디지털화이트보드

줌 화이트보드 기능이 업데이트 되었습니다
기존은 1회성 회이트보드였다면
기록과 보관이 가능한 화이트보드입니다

물론 텍스트 도형 선 포스트잇 모두 가능합니다


 디지털생활제안 유튜브 구독하기 
 디지털생활제안 홈페이지  
 교육문의 yyjjhh2000hanmailnet
 디지털생활제안 후원하기 ","줌, 화이트보드, 디지털화이트보드, 기록, 보관, 텍스트, 도형, 선, 포스트잇, 디지털 혁신, 유튜브, 홈페이지, 교육, 후원."
603,23 Zoom 대기실 설정변경(2021 줌사용법 업데이트 버전),https://www.youtube.com/watch?v=jIkFbubEWj8&pp=ygULem9vbSDquLDriqU%3D,2021.7.1,2022 줌사용법 - 연수버전,FocusN,1821,12,커뮤니케이션,커뮤니케이션,한국어,"2021 김동원 박사와 함께 하는 '5분전' ZOOM은
(사) 행복한 교육실천 모임, 커넥트원격평생교육원, 비스켓연구소, 한국강사플랫폼과 함께합니다.

23 Zoom 대기실 설정변경(2021 줌사용법 업데이트 버전)

업데이트 된 줌 사용법 입니다!

줌을 사용하면서 궁금하신 점을 댓글로 남겨주세요!

온라인 교육의 내일을 보다(SEE)
Simple - Easy - Effect!!!
'같이'하는 '가치성장'
짧은 영상을 통해서 궁금한 내용을 한번에 하나씩 함께 풀어갑니다!

심플하게~
하나의 영상에 하나의 주제에 집중합니다. 

쉽게~
따라하고 배울 수 있도록 만들었어요~

효과적으로~
사용할 수 있도록 라이브 버전도 있어요^^

줌을 사용하면서 궁금하신 점을 댓글로 남겨주세요!
궁금한 점을 나누고 '5분 영상'으로 만들어 딱 필요한 내용만 담아 올리겠습니다. 

함께하면 좋은사람
김동원 박사

- FocusN 교육 대표
- 커넥트 원경평생교육원 주임교수
- 국립강릉원주대학교 겸임교수
- 세바시 '5가지 사랑의언어' 인증 강사

강연상세 및 강연문의
https://c11.kr/zoomclass

sdplace@naver.com

Youtube 교육자를 위한 Zoom 영상 목록 링크
   • 2022 줌사용법 - 연수버전  

네이버TV 영상재생 목록
https://tv.naver.com/v/21167004/list/...

따라하면 되는 Zoom 블로그
https://blog.naver.com/PostList.naver...","23 Zoom 대기실 설정변경2021 줌사용법 업데이트 버전 2021 김동원 박사와 함께 하는 5분전 ZOOM은
사 행복한 교육실천 모임 커넥트원격평생교육원 비스켓연구소 한국강사플랫폼과 함께합니다

23 Zoom 대기실 설정변경2021 줌사용법 업데이트 버전

업데이트 된 줌 사용법 입니다

줌을 사용하면서 궁금하신 점을 댓글로 남겨주세요

온라인 교육의 내일을 보다SEE
Simple  Easy  Effect
같이하는 가치성장
짧은 영상을 통해서 궁금한 내용을 한번에 하나씩 함께 풀어갑니다

심플하게
하나의 영상에 하나의 주제에 집중합니다 

쉽게
따라하고 배울 수 있도록 만들었어요

효과적으로
사용할 수 있도록 라이브 버전도 있어요

줌을 사용하면서 궁금하신 점을 댓글로 남겨주세요
궁금한 점을 나누고 5분 영상으로 만들어 딱 필요한 내용만 담아 올리겠습니다 

함께하면 좋은사람
김동원 박사

 FocusN 교육 대표
 커넥트 원경평생교육원 주임교수
 국립강릉원주대학교 겸임교수
 세바시 5가지 사랑의언어 인증 강사

강연상세 및 강연문의


sdplacenavercom

Youtube 교육자를 위한 Zoom 영상 목록 링크
    2022 줌사용법  연수버전  

네이버TV 영상재생 목록


따라하면 되는 Zoom 블로그
","줌, 온라인 교육, 비스켓연구소, 교육 플랫폼, 원격 교육, 교육자, 강연, 디지털 혁신, 연수, 라이브 버전, 영상, 블로그."
604,줌 ZOOM 사용법 화상회의 꿀팁 모음(온라인 수업),https://www.youtube.com/watch?v=uiZzcBLWrQo&pp=ygULem9vbSDquLDriqU%3D,2022.12.13,,디지털거북이,12467,477,커뮤니케이션,커뮤니케이션,한국어,"00:00강의개요
01:48 온택트시대
05:13 온라인 라이브 클래스
07:04 온라인 라이브 플랫폼
08:56 온라인 라이브 플랫폼의 진화
13:18 ZOOM(줌) 소개
15:17 줌 들어가기, 회원가입하기
18:33 프로필 편집
21:50 줌 화면
23:22 회의링크전달하기
26:10 화면 보기 설정
28:45 비디오 설정 (배경)
32:27 이름바꾸기
35:20 채팅 (전체,개인 / 파일보내기)
38:04 반응
40:28 화면공유기능
55:30 줌 회의 설정
1:05:42 알아두면 좋을 꿀팁3

디지털 활용 교육, 디지털 리터러시 교육 문의 🐢

메일: digitalturtle@naver.com
블로그 : https://blog.naver.com/digital_turtle","줌 ZOOM 사용법 화상회의 꿀팁 모음온라인 수업 0000강의개요
0148 온택트시대
0513 온라인 라이브 클래스
0704 온라인 라이브 플랫폼
0856 온라인 라이브 플랫폼의 진화
1318 ZOOM줌 소개
1517 줌 들어가기 회원가입하기
1833 프로필 편집
2150 줌 화면
2322 회의링크전달하기
2610 화면 보기 설정
2845 비디오 설정 배경
3227 이름바꾸기
3520 채팅 전체개인  파일보내기
3804 반응
4028 화면공유기능
5530 줌 회의 설정
10542 알아두면 좋을 꿀팁3

디지털 활용 교육 디지털 리터러시 교육 문의 

메일 digitalturtlenavercom
블로그  ","줌(ZOOM), 화상회의, 온라인 수업, 온택트, 온라인 라이브 클래스, 온라인 라이브 플랫폼, 디지털 활용 교육, 디지털 리터러시 교육, 꿀팁, 화면 공유, 회의 설정"
605,구글 드라이브 핵심 기능 이용하는 방법 설명드립니다.,https://www.youtube.com/watch?v=gveH0sbVAHI&pp=ygUT6rWs6riAIOuTnOudvOydtOu4jA%3D%3D,2022.9.22,,IB 96,22603,397,커뮤니케이션,커뮤니케이션,한국어,"☞  IB96  채널 은 컴퓨터 프로그램과 스마트폰 IT 모바일 기기 사용법 응용능력 기능 을   알려드리는 교육 채널입니다 _
IB96 채널 영상은   https://www.ib96.com  에서 제공받았습니다
IB96 구독및  [가입]을 해주시면 좀더 좋은 컨텐츠로 보답하겠습니다
감사합니다

구글드라이브를 100% 활용해 보세요!
대다수가 이용하지 않고 있는 구글드라이브의 핵심기능을 활용하여
구글드라이브를 100% 활용하는 방법
구글드라이브와 연동되는 구글 서비스들
구글드라이브에 업로드, 다운로드
공유기능을 이용하여 지정한 사람들과 구글드라이브에 있는 파일을 공유하는 방법,사진이나 문서에 댓글을 이용하여 채팅하는 방법
PC에 구글드라이브를 동기화되는 드라이브 만들고 내 PC의 드라이브처럼 활용하는 방법,스마트폰의 구글드라이브앱 설치와 사용방법 알려드립니다

컴퓨터 프로그램과 모바일기기 사용법을 IB96 에서 배우시고 실무에 활용하세요
#구글드라이브사용방법 #구글클라우드기능","구글 드라이브 핵심 기능 이용하는 방법 설명드립니다   IB96  채널 은 컴퓨터 프로그램과 스마트폰 IT 모바일 기기 사용법 응용능력 기능 을   알려드리는 교육 채널입니다 _
IB96 채널 영상은     에서 제공받았습니다
IB96 구독및  가입을 해주시면 좀더 좋은 컨텐츠로 보답하겠습니다
감사합니다

구글드라이브를 100 활용해 보세요
대다수가 이용하지 않고 있는 구글드라이브의 핵심기능을 활용하여
구글드라이브를 100 활용하는 방법
구글드라이브와 연동되는 구글 서비스들
구글드라이브에 업로드 다운로드
공유기능을 이용하여 지정한 사람들과 구글드라이브에 있는 파일을 공유하는 방법사진이나 문서에 댓글을 이용하여 채팅하는 방법
PC에 구글드라이브를 동기화되는 드라이브 만들고 내 PC의 드라이브처럼 활용하는 방법스마트폰의 구글드라이브앱 설치와 사용방법 알려드립니다

컴퓨터 프로그램과 모바일기기 사용법을 IB96 에서 배우시고 실무에 활용하세요
구글드라이브사용방법 구글클라우드기능","구글드라이브, 구글 서비스, 파일 공유, 동기화, 클라우드 기능"
606,구글 드라이브 숨은 기능 알면 진짜 대박임...엑셀 굿바이ㅠ,https://www.youtube.com/watch?v=CnDuscXt1Ow&pp=ygUT6rWs6riAIOuTnOudvOydtOu4jA%3D%3D,2021.1.5,,디에디트 THE EDIT,211706,54,커뮤니케이션,커뮤니케이션,한국어,"안녕하세요 디에디트 새해 첫 영상입니다! 
오늘은 앱추천의 일환으로 구글 드라이브 활용법을 들고 왔어요.
우리 구글 드라이브 가끔씩 클라우드나 메일로 파일 공유할 때나 쓰잖아요
그런데 사실 구글 드라이브는 업무 협업부터 과제, 팀플까지 안 쓰이는 곳이 없답니다!
사진 텍스트를 문서로 변환하는 방법부터 실시간 채팅, 문서 공유까지 다양한 기능을 정리해 보았어요
진짜 절대 광고 아님! 다들 이 영상 보면 인생이 달라질 거예요!

📌 영상편집 : 조형섭
🔎 제휴 문의 : hello@the-edit.co.kr
📝 구독자 리뷰 제보 : ask@the-edit.co.kr

#앱천재
00:00 오프닝
01:13 구글드라이브 용량/가격
03:43 이미지 텍스트 변환 기능
06:30 구글 스프레드시트
09:43 실시간 문서 공유
13:05 구글 설문
15:31 이미지 편집
16:58 엔딩","구글 드라이브 숨은 기능 알면 진짜 대박임엑셀 굿바이ㅠ 안녕하세요 디에디트 새해 첫 영상입니다 
오늘은 앱추천의 일환으로 구글 드라이브 활용법을 들고 왔어요
우리 구글 드라이브 가끔씩 클라우드나 메일로 파일 공유할 때나 쓰잖아요
그런데 사실 구글 드라이브는 업무 협업부터 과제 팀플까지 안 쓰이는 곳이 없답니다
사진 텍스트를 문서로 변환하는 방법부터 실시간 채팅 문서 공유까지 다양한 기능을 정리해 보았어요
진짜 절대 광고 아님 다들 이 영상 보면 인생이 달라질 거예요

 영상편집  조형섭
 제휴 문의  hellotheeditcokr
 구독자 리뷰 제보  asktheeditcokr

앱천재
0000 오프닝
0113 구글드라이브 용량가격
0343 이미지 텍스트 변환 기능
0630 구글 스프레드시트
0943 실시간 문서 공유
1305 구글 설문
1531 이미지 편집
1658 엔딩","1. 구글 드라이브
2. 클라우드
3. 업무 협업
4. 과제 팀플
5. 문서 공유
6. 실시간 채팅
7. 이미지 텍스트 변환
8. 구글 스프레드시트
9. 구글 설문
10. 이미지 편집"
607,구글드라이브  활용하고 사용하는 방법 배우기,https://www.youtube.com/watch?v=Cr8GOYdgxJg&pp=ygUT6rWs6riAIOuTnOudvOydtOu4jA%3D%3D,2019.3.30,,IB 96,213784,29,커뮤니케이션,커뮤니케이션,한국어,"☞  IB96  채널 은 컴퓨터 프로그램과 스마트폰 IT 모바일 기기 사용법 응용능력 기능 을 
                 알려드리는 교육 채널입니다 _
IB96 채널 영상은   https://www.ib96.com  에서 제공받았습니다
IB96 구독및 멤버쉽 회원 [가입]을 해주시면 좀더 좋은 컨텐츠로 보답하겠습니다
감사합니다



구글드라이브 한시간에 완벽하게 활용하고 사용하는 방법배우기 
구글 드라이브 완벽이해와 활용
구글드라이브에 백업하기
컴퓨터와 동기화
핸드폰과 동기화
구글앱의 활용
구글앱으로 협업하기","구글드라이브  활용하고 사용하는 방법 배우기   IB96  채널 은 컴퓨터 프로그램과 스마트폰 IT 모바일 기기 사용법 응용능력 기능 을 
                 알려드리는 교육 채널입니다 _
IB96 채널 영상은     에서 제공받았습니다
IB96 구독및 멤버쉽 회원 가입을 해주시면 좀더 좋은 컨텐츠로 보답하겠습니다
감사합니다



구글드라이브 한시간에 완벽하게 활용하고 사용하는 방법배우기 
구글 드라이브 완벽이해와 활용
구글드라이브에 백업하기
컴퓨터와 동기화
핸드폰과 동기화
구글앱의 활용
구글앱으로 협업하기","구글드라이브, 컴퓨터 프로그램, 모바일 기기, IT, 활용능력, 백업, 동기화, 구글앱, 협업."
608,"5분만에 배우는 알아두면 유용한 구글드라이브 사용법/구글드라이브 공유 하는 방법/구글드라이브 폴더,파일 링크 공유/구글드라이브 업로드 하는 방법/구글드라이브 링크 거는 방법",https://www.youtube.com/watch?v=CnR1OmToHHQ&pp=ygUT6rWs6riAIOuTnOudvOydtOu4jA%3D%3D,2022.1.14,,캡틴스튜디오,33085,379,커뮤니케이션,커뮤니케이션,한국어,"#구글드라이브사용법#구글드라이브파일폴더공유#구글드라이브링크공유

오늘은 구글드라이브의 사용법에 대해서 제작했습니다
파일을 개인에게 보낼 때 단체로 보낼 때 또는 링크로 보내거나 꾸준히 공유할 때 유용하게 사용하실 수 있고 개인적으로 파일을 저장 할 때도 유용합니다


비지니스 및 강의 문의: editorcaptain@naver.com

00:00~00:32 오프닝
00:33~01:05 구글드라이브 접속
01:06~01:37 파일 및 폴더 업로드
01:38~03:04 공유하기
03:05~04:15 링크를 통한 공유
04:16~05:07 꾸준히 공유하기 
05:08~05:18 기타사항
05:19~05:29 클로징","5분만에 배우는 알아두면 유용한 구글드라이브 사용법구글드라이브 공유 하는 방법구글드라이브 폴더파일 링크 공유구글드라이브 업로드 하는 방법구글드라이브 링크 거는 방법 구글드라이브사용법구글드라이브파일폴더공유구글드라이브링크공유

오늘은 구글드라이브의 사용법에 대해서 제작했습니다
파일을 개인에게 보낼 때 단체로 보낼 때 또는 링크로 보내거나 꾸준히 공유할 때 유용하게 사용하실 수 있고 개인적으로 파일을 저장 할 때도 유용합니다


비지니스 및 강의 문의 editorcaptainnavercom

00000032 오프닝
00330105 구글드라이브 접속
01060137 파일 및 폴더 업로드
01380304 공유하기
03050415 링크를 통한 공유
04160507 꾸준히 공유하기 
05080518 기타사항
05190529 클로징","구글드라이브, 파일 업로드, 폴더 업로드, 공유하기, 링크 공유하기, 유용한 사용법, 디지털 저장소, 클라우드 스토리지"
609,1시간에 구글드라이브 사용법 익히기 Google Drive 동기화  기능 활용법 배우기,https://www.youtube.com/watch?v=1WT3caWlnm8&pp=ygUT6rWs6riAIOuTnOudvOydtOu4jA%3D%3D,2019.12.1,#Google,IB 96,49833,836,커뮤니케이션,커뮤니케이션,한국어,"☞  IB96  채널 은 컴퓨터 프로그램과 스마트폰 IT 모바일 기기 사용법 응용능력 기능 을 
                 알려드리는 교육 채널입니다 _
IB96 채널 영상은   https://www.ib96.com  에서 제공받았습니다
IB96 구독및 멤버쉽 회원 [가입]을 해주시면 좀더 좋은 컨텐츠로 보답하겠습니다
감사합니다




구글드라이브 1시간에 사용법  Google Drive 동기화 업로드 다운로드 
오피스앱 구글스프레드시트 구글문서 구글프레젠테이션 기능및 화성화등
다양한 기능및 사용법을 배워보시기 바랍니다

#구글드라이브 #Google Drive #구글드라이브사용법","1시간에 구글드라이브 사용법 익히기 Google Drive 동기화  기능 활용법 배우기   IB96  채널 은 컴퓨터 프로그램과 스마트폰 IT 모바일 기기 사용법 응용능력 기능 을 
                 알려드리는 교육 채널입니다 _
IB96 채널 영상은     에서 제공받았습니다
IB96 구독및 멤버쉽 회원 가입을 해주시면 좀더 좋은 컨텐츠로 보답하겠습니다
감사합니다




구글드라이브 1시간에 사용법  Google Drive 동기화 업로드 다운로드 
오피스앱 구글스프레드시트 구글문서 구글프레젠테이션 기능및 화성화등
다양한 기능및 사용법을 배워보시기 바랍니다

구글드라이브 Google Drive 구글드라이브사용법","구글드라이브, Google Drive, 동기화, 업로드, 다운로드, 오피스앱, 구글스프레드시트, 구글문서, 구글프레젠테이션, 화성화, 디지털 혁신."
